2022-02-01 10:12:12,745 | SERVER_CODE |  INFO | [457] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:12:12,747 | SERVER_CODE |  INFO | [457] ServerCode Model built in 5ms
2022-02-01 10:12:12,750 | SERVER_CODE |  INFO | [457] [A862559C-8C70-8F5D-FF4B-EFB0FBF7D600] [INVOKE SERVICE] services.NEAR.Login
2022-02-01 10:12:14,943 | SERVER_CODE |  INFO | [457] Processing finished in 2208.184ms
2022-02-01 10:14:26,106 | SERVER_CODE |  INFO | [919] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:14:26,108 | SERVER_CODE |  INFO | [919] ServerCode Model built in 5ms
2022-02-01 10:14:26,110 | SERVER_CODE |  INFO | [919] [EFDD9E24-9554-EC5C-FFA2-0FB3C4D59400] [INVOKE SERVICE] services.NEAR.getInfoByTransaction
2022-02-01 10:14:26,384 | SERVER_CODE |  INFO | [919] Processing finished in 287.882ms
2022-02-01 10:14:26,722 | SERVER_CODE |  INFO | [1626] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:14:26,723 | SERVER_CODE |  INFO | [1626] ServerCode Model built in 5ms
2022-02-01 10:14:26,727 | SERVER_CODE |  INFO | [1626] [73CE2EDC-05AE-79A7-FF85-CA8A3D14C300] [INVOKE SERVICE] services.NEAR.getPrivateKey
2022-02-01 10:14:26,939 | SERVER_CODE |  INFO | [1626] Processing finished in 230.133ms
2022-02-01 10:16:24,110 | SERVER_CODE |  INFO | [1040] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:16:24,112 | SERVER_CODE |  INFO | [1040] ServerCode Model built in 5ms
2022-02-01 10:16:24,115 | SERVER_CODE |  INFO | [1040] [11A351F6-1226-254E-FF74-903E558EE100] [INVOKE SERVICE] services.NEAR.Login
2022-02-01 10:16:24,440 | SERVER_CODE |  INFO | [1040] Processing finished in 338.460ms
2022-02-01 10:16:43,202 | SERVER_CODE |  INFO | [32114] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:16:43,204 | SERVER_CODE |  INFO | [32114] ServerCode Model built in 6ms
2022-02-01 10:16:43,207 | SERVER_CODE |  INFO | [32114] [11EF5F4E-41DD-AA7E-FF3F-6F1B916B4700] [INVOKE SERVICE] services.NEAR.getInfoByTransaction
2022-02-01 10:16:43,270 | SERVER_CODE |  INFO | [32114] Processing finished in 79.547ms
2022-02-01 10:16:43,544 | SERVER_CODE |  INFO | [1051] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:16:43,546 | SERVER_CODE |  INFO | [1051] ServerCode Model built in 5ms
2022-02-01 10:16:43,548 | SERVER_CODE |  INFO | [1051] [ED309810-B2A7-0DAC-FF1E-79A7A53E6400] [INVOKE SERVICE] services.NEAR.getPrivateKey
2022-02-01 10:16:43,682 | SERVER_CODE |  INFO | [1051] Processing finished in 146.247ms
2022-02-01 10:17:20,904 | SERVER_CODE |  INFO | [1802] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:17:20,906 | SERVER_CODE |  INFO | [1802] ServerCode Model built in 6ms
2022-02-01 10:17:20,909 | SERVER_CODE |  INFO | [1802] [78393666-09D2-32D2-FFD9-C5F1A6767600] [INVOKE SERVICE] services.NEAR.Login
2022-02-01 10:17:21,220 | SERVER_CODE |  INFO | [1802] Processing finished in 325.474ms
2022-02-01 10:17:39,470 | SERVER_CODE |  INFO | [1813] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:17:39,472 | SERVER_CODE |  INFO | [1813] ServerCode Model built in 5ms
2022-02-01 10:17:39,474 | SERVER_CODE |  INFO | [1813] [CEC0CDDD-F3B0-6A34-FFCB-0283AD0F8600] [INVOKE SERVICE] services.NEAR.getInfoByTransaction
2022-02-01 10:17:41,550 | SERVER_CODE |  INFO | [1813] Processing finished in 2088.043ms
2022-02-01 10:17:41,851 | SERVER_CODE |  INFO | [32180] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:17:41,853 | SERVER_CODE |  INFO | [32180] ServerCode Model built in 5ms
2022-02-01 10:17:41,856 | SERVER_CODE |  INFO | [32180] [64920106-FE53-E71B-FF8A-28205EB5E000] [INVOKE SERVICE] services.NEAR.getPrivateKey
2022-02-01 10:17:41,993 | SERVER_CODE |  INFO | [32180] Processing finished in 150.414ms
2022-02-01 10:21:14,405 | SERVER_CODE |  INFO | [2044] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:21:14,407 | SERVER_CODE |  INFO | [2044] ServerCode Model built in 5ms
2022-02-01 10:21:14,410 | SERVER_CODE |  INFO | [2044] [BF620534-EBFA-AE5B-FF88-170A29E84100] [INVOKE SERVICE] services.NEAR.Login
2022-02-01 10:21:14,560 | SERVER_CODE |  INFO | [2044] Processing finished in 164.384ms
2022-02-01 10:21:35,159 | SERVER_CODE |  INFO | [32422] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:21:35,161 | SERVER_CODE |  INFO | [32422] ServerCode Model built in 5ms
2022-02-01 10:21:35,164 | SERVER_CODE |  INFO | [32422] [3979F525-766F-F289-FFAD-81408E1A0B00] [INVOKE SERVICE] services.NEAR.getInfoByTransaction
2022-02-01 10:21:35,247 | SERVER_CODE |  INFO | [32422] Processing finished in 96.790ms
2022-02-01 10:21:35,557 | SERVER_CODE |  INFO | [1359] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:21:35,559 | SERVER_CODE |  INFO | [1359] ServerCode Model built in 6ms
2022-02-01 10:21:35,562 | SERVER_CODE |  INFO | [1359] [04B23945-D64F-7E0F-FFB4-620885770F00] [INVOKE SERVICE] services.NEAR.getPrivateKey
2022-02-01 10:21:35,686 | SERVER_CODE |  INFO | [1359] Processing finished in 139.031ms
2022-02-01 10:23:55,783 | SERVER_CODE |  INFO | [1502] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:23:55,785 | SERVER_CODE |  INFO | [1502] ServerCode Model built in 5ms
2022-02-01 10:23:55,788 | SERVER_CODE |  INFO | [1502] [C422929A-623B-EFEA-FFE7-41DFA8627300] [INVOKE SERVICE] services.NEAR.Login
2022-02-01 10:23:55,949 | SERVER_CODE |  INFO | [1502] Processing finished in 177.718ms
2022-02-01 10:24:17,409 | SERVER_CODE |  INFO | [32587] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:24:17,410 | SERVER_CODE |  INFO | [32587] ServerCode Model built in 5ms
2022-02-01 10:24:17,412 | SERVER_CODE |  INFO | [32587] [3268CD4F-AB6A-39A6-FFBA-0A1B68237400] [INVOKE SERVICE] services.NEAR.getInfoByTransaction
2022-02-01 10:24:17,467 | SERVER_CODE |  INFO | [32587] Processing finished in 67.214ms
2022-02-01 10:24:17,698 | SERVER_CODE |  INFO | [1524] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 10:24:17,700 | SERVER_CODE |  INFO | [1524] ServerCode Model built in 5ms
2022-02-01 10:24:17,702 | SERVER_CODE |  INFO | [1524] [4ABD3BDE-53B4-2842-FF35-95382AD06200] [INVOKE SERVICE] services.NEAR.getPrivateKey
2022-02-01 10:24:20,477 | SERVER_CODE |  INFO | [1524] Processing finished in 2787.867ms
