2022-01-31 07:28:52,234 | SERVER_CODE |  INFO | [560] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:28:52,235 | SERVER_CODE |  INFO | [560] Building Model..
2022-01-31 07:28:52,344 | SERVER_CODE |  INFO | [560] ServerCode Model built in 109ms
2022-01-31 07:28:52,345 | SERVER_CODE |  INFO | [560] Services (1):
2022-01-31 07:28:52,345 | SERVER_CODE |  INFO | [560]   NEAR (services/NEAR/index.js)
2022-01-31 07:28:52,348 | SERVER_CODE |  INFO | [560] Processing finished in 122.454ms
2022-01-31 07:28:52,958 | SERVER_CODE |  INFO | [1368] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:28:52,959 | SERVER_CODE |  INFO | [1368] Building Model..
2022-01-31 07:28:53,072 | SERVER_CODE |  INFO | [1368] ServerCode Model built in 113ms
2022-01-31 07:28:53,072 | SERVER_CODE |  INFO | [1368] Services (1):
2022-01-31 07:28:53,072 | SERVER_CODE |  INFO | [1368]   NEAR (services/NEAR/index.js)
2022-01-31 07:28:53,075 | SERVER_CODE |  INFO | [1368] Processing finished in 125.024ms
2022-01-31 07:32:55,684 | SERVER_CODE |  INFO | [802] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:32:55,685 | SERVER_CODE |  INFO | [802] Building Model..
2022-01-31 07:32:55,801 | SERVER_CODE |  INFO | [802] ServerCode Model built in 116ms
2022-01-31 07:32:55,802 | SERVER_CODE |  INFO | [802] Services (1):
2022-01-31 07:32:55,802 | SERVER_CODE |  INFO | [802]   NEAR (services/NEAR/index.js)
2022-01-31 07:32:55,805 | SERVER_CODE |  INFO | [802] Processing finished in 128.812ms
2022-01-31 07:32:56,318 | SERVER_CODE |  INFO | [32307] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:32:56,319 | SERVER_CODE |  INFO | [32307] Building Model..
2022-01-31 07:32:56,439 | SERVER_CODE |  INFO | [32307] ServerCode Model built in 120ms
2022-01-31 07:32:56,439 | SERVER_CODE |  INFO | [32307] Services (1):
2022-01-31 07:32:56,440 | SERVER_CODE |  INFO | [32307]   NEAR (services/NEAR/index.js)
2022-01-31 07:32:56,442 | SERVER_CODE |  INFO | [32307] Processing finished in 132.135ms
2022-01-31 07:33:23,080 | SERVER_CODE |  INFO | [824] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 07:33:23,082 | SERVER_CODE |  INFO | [824] ServerCode Model built in 6ms
2022-01-31 07:33:23,087 | SERVER_CODE |  INFO | [824] [B6890C0E-365F-306D-FF79-AD23850F0100] [INVOKE SERVICE] services.NEAR.getPrivateKey
2022-01-31 07:33:23,765 | SERVER_CODE |  INFO | [824] Processing finished in 695.365ms
2022-01-31 07:36:11,285 | SERVER_CODE |  INFO | [1786] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 07:36:11,287 | SERVER_CODE |  INFO | [1786] ServerCode Model built in 5ms
2022-01-31 07:36:11,290 | SERVER_CODE |  INFO | [1786] [9F57D049-E230-16CA-FFCF-32AB617BC200] [INVOKE SERVICE] services.NEAR.Login
2022-01-31 07:36:11,487 | SERVER_CODE |  INFO | [1786] Processing finished in 212.444ms
2022-01-31 07:36:29,165 | SERVER_CODE |  INFO | [1797] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 07:36:29,166 | SERVER_CODE |  INFO | [1797] ServerCode Model built in 4ms
2022-01-31 07:36:29,168 | SERVER_CODE |  INFO | [1797] [A2CED86A-27D6-11ED-FF0A-DDA2E7694500] [INVOKE SERVICE] services.NEAR.getInfoByTransaction
2022-01-31 07:36:29,587 | SERVER_CODE |  INFO | [1797] Processing finished in 430.797ms
2022-01-31 07:36:32,831 | SERVER_CODE |  INFO | [989] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 07:36:32,832 | SERVER_CODE |  INFO | [989] ServerCode Model built in 4ms
